"fips","gini_cnty","income_cnty","black_cnty","pop_cnty","perc_bush"
5025,45.3,3.5063,14.1782,0.864,57.7011
5027,47.7,3.5258,36.5964,2.4292,57.9466
5029,48.2,3.3554,12.1296,2.0619,49.8131
5031,46.3,3.9431,11.0436,9.1474,53.3473
5033,42.9,3.8942,1.38236,5.874,65.9635
5035,47.3,3.2323,47.9779,5.2199,45.4099
5037,44,3.6036,24.2593,1.8801,54.9644
5039,48.7,2.8233,42.391,0.8214,50.4154
5041,47.6,2.7072,47.0627,1.3737,38.518
5043,46.3,3.2061,28.0657,1.8699,52.3217
5045,45.2,4.46,10.3831,10.4468,59.295
5047,44.4,3.0991,0.255031,1.8037,57.6732
5049,41.8,3.0771,0,1.17,50.7778
5051,47.1,3.6454,8.04694,9.6285,54.3726
5053,37.2,5.1238,4.02417,1.7544,62.2594
5055,40.6,3.8012,0.915651,4.019,52.1
5057,43.8,3.5518,29.0941,2.3094,48.2155
5059,41.1,3.6095,10.259,3.1621,49.6791
5061,49,3.318,20.95,1.4253,55.5262
5063,44.6,3.4798,2.59997,3.4462,57.3908
5065,41.6,3.2269,1.6659,1.3086,51.9435
5067,44.1,2.868,19.3685,1.7038,42.3531
5069,45.8,3.5265,51.8658,7.9698,33.8517
5071,42.1,3.0953,1.58691,2.4576,54.163
5073,50.9,2.6491,37.6928,0.7715,50.2837
5075,42.5,2.9119,0.26017,1.6912,45.0328
5077,48,2.6283,56.9785,1.0776,36.8148
5079,48.5,3.4876,32.2621,1.3753,47.0757
5081,42.9,3.2884,21.7553,1.2921,48.75
5083,44.4,3.5716,1.04213,2.255,59.6274
5085,39.3,5.0295,6.82865,6.3424,65.4486
5087,43.6,3.6667,0.284274,1.5478,61.1243
5089,44.6,3.1772,0,1.6581,60.4747
5091,44.1,3.909,23.6485,4.2971,57.675
5093,46.5,3.294,33.7445,4.6778,44.5143
5095,45.1,2.9607,39.089,0.8606,43.544
5097,48.4,3.6095,0,0.9064,60.2302
5099,49.7,3.2969,27.5955,0.9324,50.6373
5101,43,2.8166,0.373,0.8311,64.0978
5103,46.7,3.0167,39.8178,2.6016,50.4933
5105,38.1,4.4921,2.48689,1.0294,55.3661
5107,45.9,2.6336,61.8626,2.2002,35.945
5109,45.5,3.3024,3.87438,1.0763,60.0598
5111,43.8,3.1894,7.34366,2.4865,46.2159
5113,41.2,3.3274,0.148957,2.014,67.094
5115,43.6,3.8511,3.37839,5.8963,65.4393
5117,41.2,3.2176,15.4968,0.8776,56.3924
5119,48.3,4.437,33.8218,37.5518,44.2669
5121,46.8,2.8427,1.01894,1.8058,47.8116
5123,46.7,2.7016,50.5734,2.6769,55.151
5125,38.3,5.1082,4.12947,9.5,39.459
5127,42.5,3.3969,0,1.117,63.343
5129,44.3,2.7071,0,0.8002,62.5651
5131,46.2,3.9131,5.99382,12.1325,65.2074
5133,43.4,3.409,3.74788,1.6516,62.0865
5135,42.8,2.9589,0.587936,1.7689,54.893
